"state","cases","deaths"
"上海市","64176","595"
"广东省","10055","8"
"海南省","8955","6"
"四川省","5650","3"
"福建省","4372","1"
"北京市","4227","9"
"陕西省","3746","3"
"浙江省","3425","1"
"黑龙江省","3389","13"
"河南省","3330","22"
