"state","cases","deaths"
"上海市","64176","595"
"河南省","3330","22"
"黑龙江省","3389","13"
"北京市","4227","9"
"广东省","10055","8"
"河北省","2029","7"
"山东省","3106","7"
"海南省","8955","6"
"重庆市","1043","6"
"四川省","5650","3"
