"state","cases","deaths"
"宁夏回族自治区","120","0"
"青海省","239","0"
"山西省","482","0"
"贵州省","921","2"
"重庆市","1043","6"
"新疆维吾尔自治区","1164","2"
"甘肃省","1350","2"
"西藏自治区","1385","0"
"江西省","1495","1"
"河北省","2029","7"
"广西壮族自治区","2329","2"
"天津市","2375","3"
"江苏省","2411","0"
"云南省","2411","2"
"内蒙古自治区","2790","1"
"山东省","3106","7"
"河南省","3330","22"
"黑龙江省","3389","13"
"浙江省","3425","1"
"陕西省","3746","3"
"北京市","4227","9"
"福建省","4372","1"
"四川省","5650","3"
"海南省","8955","6"
"广东省","10055","8"
"上海市","64176","595"
